#,Element,Alpha_P_H,Alpha_PP_H,Beta_x,Alpha_x,Mu_x,Beta_y,Alpha_y,Mu_y,Semi_Ap_H,Semi_Ap_V,Dist_Datum_D,Ap_H,Ap_V,Ratio_Ap_Beta_x,Ratio_Ap_Beta_y
57,DQF3,3.353013,-0.338416,16.830845,2.28259,0.091302,6.137475,0.233818,0.080408,121.052523,56.372309,5.2036,0.242105046,0.112744618,0.0143846043380471,0.0183698700198371
58,DQF4,3.334053,-0.380394,16.580021,2.471317,0.091804,6.117382,0.147178,0.081779,120.225731,56.288148,5.25635,0.240451462,0.112576296,0.0145024823551188,0.0184026918704766
59,DQF5,3.313623,-0.394215,16.316892,2.516553,0.092315,6.103701,0.112192,0.083153,119.34931,56.230766,5.3091,0.23869862,0.112461532,0.0146289268814183,0.0184251377975428
60,L12,3.275514,-0.39397,15.834507,2.471917,0.093272,6.083654,0.095122,0.085678,117.722722,56.146564,5.4058,0.235445444,0.1122931279999999,0.0148691363741226,0.0184581713555701
61,TQ2,3.215406,-0.389207,15.089662,2.38085,0.094853,6.057359,0.076162,0.089703,115.16102,56.035914,5.5593,0.23032204,0.112071828,0.0152635652143831,0.0185017642177061
62,TQ2,3.156024,-0.384516,14.372453,2.291859,0.096512,6.036899,0.057121,0.093743,112.633387,55.949646,5.7128,0.225266774,0.111899292,0.0156735091775913,0.0185358893696912
63,L13,3.115972,-0.384237,13.899683,2.245289,0.097685,6.026919,0.038652,0.096493,110.932016,55.907516,5.817,0.221864032,0.111815032,0.0159618051721035,0.0185526024159276
64,L14,3.077561,-0.383965,13.45509,2.200645,0.098849,6.020962,0.020917,0.099135,109.304731,55.882351,5.917,0.218609462,0.111764702,0.0162473429757809,0.0185625988006567
65,L14,3.039179,-0.383689,13.019422,2.156047,0.100051,6.018553,0.003172,0.101779,107.683077,55.87217,6.017,0.215366154,0.11174434,0.0165419136118331,0.0185666455043263
66,L14,3.000824,-0.38341,12.592669,2.111496,0.101294,6.019694,-0.014585,0.104423,106.067303,55.876992,6.117,0.212134606,0.111753984,0.0168458812027855,0.0185647283732362
67,L15,2.977441,-0.383238,12.336722,2.084344,0.102073,6.022134,-0.025423,0.106036,105.084681,55.887304,6.178,0.210169362,0.111774608,0.0170360783034585,0.0185606311649657
68,L16,2.897789,-0.382639,11.488872,1.991894,0.104854,6.040403,-0.06242,0.111526,101.752154,55.964433,6.386,0.203504308,0.111928866,0.0177131669671313,0.0185300328471461
69,L14,2.85954,-0.382345,11.094931,1.947522,0.106264,6.054668,-0.080231,0.114158,100.16049,56.024575,6.486,0.20032098,0.11204915,0.0180551803341544,0.0185062417955864
70,L14,2.821321,-0.382047,10.70986,1.9032,0.107724,6.072497,-0.098059,0.116783,98.576095,56.099644,6.586,0.19715219,0.112199288,0.0184084749940708,0.0184766312770512
71,L14,2.783131,-0.381744,10.333648,1.858927,0.109237,6.093893,-0.115906,0.119399,96.999322,56.189588,6.686,0.193998644,0.112379176,0.0187734906395108,0.0184412781780054
72,L14,2.744972,-0.381438,9.966286,1.814705,0.110805,6.11886,-0.133772,0.122005,95.430545,56.294346,6.786,0.1908610899999999,0.1125886919999999,0.0191506735809106,0.018400272599798
73,L14,2.706844,-0.381127,9.607763,1.770533,0.112432,6.147403,-0.15166,0.124601,93.870166,56.413844,6.886,0.187740332,0.112827688,0.0195404832529695,0.0183537158699372
74,L14,2.668747,-0.380812,9.258069,1.726412,0.114119,6.179526,-0.16957,0.127183,92.318613,56.547997,6.986,0.184637226,0.113095994,0.019943384090138,0.0183017263783662
75,L14,2.630681,-0.380493,8.917195,1.682343,0.115871,6.215232,-0.187503,0.129751,90.776343,56.696711,7.086,0.181552686,0.113393422,0.0203598425289566,0.0182444391456344
76,L14,2.592648,-0.380169,8.585129,1.638325,0.11769,6.254528,-0.205461,0.132304,89.243843,56.85988,7.186,0.178487686,0.1137197599999999,0.0207903324457908,0.0181819891125277
77,L14,2.554648,-0.379841,8.261861,1.594359,0.11958,6.297419,-0.223445,0.13484,87.721636,57.03739,7.286,0.175443272,0.11407478,0.0212353211945831,0.0181145291428123
78,L14,2.51668,-0.379508,7.947382,1.550445,0.121544,6.343908,-0.241457,0.137358,86.21028,57.229116,7.386,0.17242056,0.114458232,0.0216952651829243,0.0180422275985086
79,L14,2.478746,-0.379171,7.64168,1.506583,0.123586,6.394003,-0.259497,0.139857,84.710372,57.434925,7.486,0.169420744,0.11486985,0.0221706148386218,0.0179652480613474
80,L14,2.440846,-0.378829,7.344745,1.462774,0.125711,6.447709,-0.277568,0.142336,83.222551,57.654677,7.586,0.1664451019999999,0.115309354,0.0226617945211167,0.0178837714295108
81,L14,2.40298,-0.378483,7.056567,1.419018,0.127922,6.505032,-0.295669,0.144794,81.747503,57.888221,7.686,0.163495006,0.115776442,0.0231691991303986,0.0177979819315262
82,L14,2.36515,-0.378132,6.777134,1.375314,0.130223,6.565979,-0.313804,0.147229,80.28596,58.135403,7.786,0.16057192,0.1162708059999999,0.0236931894809811,0.0177080685149922
83,L14,2.327354,-0.377777,6.506437,1.331664,0.13262,6.630556,-0.331972,0.149641,78.838707,58.396059,7.886,0.157677414,0.116792118,0.0242340645118057,0.0176142269215432
84,L14,2.289594,-0.377417,6.244465,1.288066,0.135117,6.69877,-0.350175,0.152029,77.406587,58.670021,7.986,0.154813174,0.117340042,0.0247920636916052,0.0175166548485766
